materia-gtk-theme 20210322-2
materia-kde 20220823-1
mbedtls 3.4.1-1
mc 4.8.30-1
md4c 0.4.8-1
mdadm 4.2-2
media-player-info 24-2
megasync-bin 4.9.6-2
memtest86+ 6.20-1
mesa 1:23.1.6-4
minikube 1.31.2-1
minizip 1:1.3-1
minizip-ng 4.0.1-1
mjpegtools 2.2.1-2
mkinitcpio 36-1
mkinitcpio-busybox 1.36.1-1
mkinitcpio-nfs-utils 0.3-8
mkinitcpio-openswap 0.1.0-3
mlocate 0.26.git.20170220-7
mobile-broadband-provider-info 20230416-1
modemmanager 1.20.6-2
moka-icon-theme-git 5.4.0-1
mpfr 4.2.1-1
mpg123 1.31.3-1
msgpack-c 5.0.0-1
mtdev 1.1.6-2
mtools 1:4.0.43-1
nano 7.2-1
nbd 3.25-1
ncdu 2.3-1
ncurses 6.4_20230520-1
ndctl 76.1-1
ndisc6 1.0.7-1
neofetch 7.1.0-2
neon 0.32.5-2
neovim 0.9.1-3
net-snmp 5.9.1-7
net-tools 2.10-2
netpbm 10.73.43-1
nettle 3.9.1-1
network-manager-applet 1.32.0-3
networkmanager 1.42.6-1
networkmanager-l2tp 1.20.8-1
networkmanager-openconnect 1.2.10-1
networkmanager-openvpn 1.10.2-3
networkmanager-pptp 1.2.12-1
networkmanager-strongswan 1.6.0-1
networkmanager-vpnc 1.2.8-3
nfs-utils 2.6.3-1
nfsidmap 2.6.3-1
nftables 1:1.0.8-2
nilfs-utils 2.2.9-2
nm-connection-editor 1.32.0-3
node-gyp 9.4.0-1
nodejs 20.5.1-1
nodejs-nopt 7.2.0-1
noto-fonts 1:23.9.1-1
npm 9.8.1-1
npth 1.6-4
nspr 4.35-1
nss 3.92-1
nss-mdns 0.15.1-1
ntfs-3g 2022.10.3-1
ntp 4.2.8.p17-1
numactl 2.0.16-1
numix-circle-arc-icons-git 23.05-01
numix-circle-icon-theme-git 23.08.16.r0.g75d4334-1
numix-gtk-theme-git 2.6.7.r55.ad4b345-1
numix-icon-theme-git 23.04.26.r0.g71b89af4f-1
numlockx 1.2-5
nvidia 535.104.05-2
nvidia-settings 535.104.05-1
nvidia-utils 535.104.05-1
nvme-cli 2.5-1
oath-toolkit 2.6.9-1
obs-studio 29.1.3-1
obsidian 1.3.7-1
ocl-icd 2.3.2-1
onetbb 2021.9.0-1
oniguruma 6.9.8-1
openal 1.23.1-1
openbox-themes-pambudi-git r32.8bdf5de-1
opencolorio 2.2.1-11
openconnect 1:9.12-1
opencore-amr 0.1.6-1
openexr 3.1.11-1
openimageio 2.4.12.0-1
openjpeg2 2.5.0-2
openmpi 4.1.5-3
openpmix 4.2.5-1
openresolv 3.13.2-1
openshadinglanguage 1.12.13.0-2
openssh 9.4p1-2
openssl 3.1.2-1
openssl-1.1 1.1.1.v-1
openvpn 2.6.6-1
opus 1.4-1
opusfile 0.12-3
orc 0.4.34-1
os-prober 1.81-1
oxy-neon 0-2
p11-kit 0.25.0-1
pacman 6.0.2-7
pacman-contrib 1.9.1-1
pacman-mirrorlist 20230820-1
pacutils 0.11.1-1
pahole 1:1.25-4
pam 1.5.3-3
pambase 20221020-1
pango 1:1.50.14-1
pangomm 2.46.3-1
paper-icon-theme 1.5.0-3
papirus-icon-theme 20230801-1
partclone 0.3.25-1
parted 3.6-1
partimage 0.6.9-14
paru 1.11.2-1
patch 2.7.6-10
pavucontrol 1:5.0+r64+geba9ca6-1
pbzip2 1.1.13-3
pciutils 3.10.0-1
pcre 8.45-4
pcre2 10.42-2
pcsclite 2.0.0-1
perl 5.38.0-1
perl-alien-build 2.80-2
perl-alien-libxml2 0.19-2
perl-anyevent 4:7.17-6
perl-anyevent-i3 0.17-9
perl-capture-tiny 0.48-7
perl-clone 0.46-2
perl-common-sense 3.75-5
perl-data-dump 1.25-4
perl-dbi 1.643-6
perl-encode-locale 1.05-11
perl-error 0.17029-5
perl-ffi-checklib 0.31-3
perl-file-chdir 0.1011-5
perl-file-listing 6.16-2
perl-file-which 1.27-3
perl-html-parser 3.81-2
perl-html-tagset 3.20-14
perl-http-cookies 6.10-4
perl-http-daemon 6.16-2
perl-http-date 6.06-1
perl-http-message 6.44-2
perl-http-negotiate 6.01-12
perl-io-html 1.004-4
perl-io-socket-ssl 2.083-2
perl-json 4.10-1
perl-json-xs 4.03-4
perl-libwww 6.67-2
perl-log-message 0.08-9
perl-log-message-simple 0.10-9
perl-lwp-mediatypes 6.04-4
perl-lwp-protocol-https 6.10-5
perl-mailtools 2.21-7
perl-mozilla-ca 20230821-1
perl-net-http 6.23-2
perl-net-ssleay 1.92-3
perl-path-tiny 0.144-2
perl-term-readline-gnu 1.46-2
perl-term-ui 0.50-3
perl-timedate 2.33-5
perl-try-tiny 0.31-3
perl-types-serialiser 1.01-2
perl-uri 5.20-1
perl-www-robotrules 6.02-12
perl-xml-libxml 2.0209-1
